                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5956,                 2.9286,                 1.2753,                0.00624,                 0.9244,                0.35085,                0.20415,                  1.318,                 3.0278,                 1.0752,              0.0005001,              0.0005001,              0.0005001
                      2,                 1.4673,                 1.8111,                   1.15,                0.00556,                 0.8428,                 0.2609,                0.15375,                 1.4252,                 3.2291,                 1.2735,              0.0009766,              0.0009766,              0.0009766
                      3,                 1.4728,                 1.6861,                 1.1796,                0.41473,                0.30703,                0.32398,                0.19015,                 1.4469,                 2.4848,                 1.2253,              0.0014122,              0.0014122,              0.0014122
                      4,                 1.4482,                 1.5951,                 1.1591,                 0.2431,                0.43443,                0.27144,                0.16458,                 1.4406,                 2.2845,                 1.2586,               0.001469,               0.001469,               0.001469
                      5,                 1.4606,                 1.5544,                 1.1631,                0.56762,                0.56784,                0.55144,                0.31301,                  1.452,                 1.7739,                 1.2635,               0.001469,               0.001469,               0.001469
                      6,                 1.4396,                 1.4076,                 1.1475,                 0.5044,                0.54447,                0.52785,                0.31044,                 1.4314,                 1.7843,                 1.2148,              0.0014029,              0.0014029,              0.0014029
                      7,                 1.4383,                 1.3517,                 1.1498,                0.51115,                0.57077,                0.50488,                0.28273,                 1.4405,                 1.7726,                 1.2169,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.3982,                 1.2956,                 1.1523,                0.57907,                0.63308,                0.60216,                0.34975,                   1.39,                 1.5964,                 1.1788,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.4339,                 1.2205,                 1.1558,                0.70674,                0.63727,                0.67671,                0.39635,                 1.3686,                 1.4196,                 1.1905,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.3997,                 1.2443,                  1.147,                0.62124,                0.64699,                0.63125,                0.37515,                 1.4062,                 1.4135,                  1.197,              0.0011389,              0.0011389,              0.0011389
                     11,                 1.3758,                 1.1534,                  1.138,                0.63413,                0.66073,                0.66141,                0.39591,                 1.3572,                  1.353,                 1.1461,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.3334,                 1.1432,                 1.1153,                0.62968,                0.69201,                0.64608,                0.38777,                 1.3737,                 1.3048,                 1.1452,              0.0010069,              0.0010069,              0.0010069
                     13,                 1.3268,                 1.0636,                 1.1023,                0.73397,                0.63806,                0.68543,                0.40208,                 1.3618,                 1.1834,                 1.1595,             0.00094085,             0.00094085,             0.00094085
                     14,                   1.32,                 1.0321,                  1.094,                0.63521,                0.74159,                 0.7142,                0.43846,                 1.3283,                 1.0937,                 1.1226,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.2973,                0.99393,                 1.0959,                0.58076,                0.67994,                 0.6786,                0.41365,                  1.325,                  1.235,                 1.1392,             0.00080883,             0.00080883,             0.00080883
                     16,                 1.3001,                 1.0094,                 1.1119,                0.57372,                0.72332,                 0.6784,                  0.413,                 1.3511,                 1.2032,                 1.1723,             0.00074282,             0.00074282,             0.00074282
                     17,                 1.2816,                0.97567,                 1.1174,                0.69278,                0.75137,                0.71834,                0.43371,                 1.3552,                  1.106,                 1.1703,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.2881,                0.97284,                 1.1064,                0.69707,                0.73975,                0.72845,                0.43702,                 1.3262,                 1.0577,                 1.1428,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.2686,                0.90061,                 1.0916,                 0.6703,                0.75871,                  0.728,                0.42907,                 1.3814,                 1.0789,                 1.1726,             0.00054478,             0.00054478,             0.00054478
                     20,                 1.2378,                0.89324,                 1.0837,                0.67401,                0.73905,                0.71824,                0.42801,                 1.3536,                 1.0801,                 1.1346,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.2086,                0.84159,                 1.0716,                0.68856,                0.74983,                0.73199,                0.43945,                 1.3333,                 1.0796,                 1.1552,             0.00041275,             0.00041275,             0.00041275
                     22,                 1.2034,                0.82034,                 1.0677,                0.66016,                 0.7627,                 0.7339,                0.44058,                 1.3137,                 1.0156,                 1.1368,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.1586,                0.79477,                  1.041,                0.69524,                0.76884,                0.74512,                0.45083,                 1.3226,                 1.0065,                 1.1374,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.1591,                0.76698,                 1.0523,                0.71336,                0.78828,                0.76145,                0.44596,                 1.3605,                0.95636,                 1.1502,             0.00021471,             0.00021471,             0.00021471
                     25,                 1.1522,                0.75776,                 1.0463,                0.75441,                0.74285,                0.75851,                0.46261,                 1.3108,                0.94802,                   1.13,              0.0001487,              0.0001487,              0.0001487
